datetime,problem_type,name,commit_link,description
21.03.2022 10:44,DDOS,SlavaUkraineSince1991/DDoS-for-all,https://github.com/SlavaUkraineSince1991/DDoS-for-all,досилка
21.03.2022 9:44,DDOS,StopWar.pro,https://StopWar.pro,Мобильное приложение со встроенным DDoS
19.03.2022 23:23,DDOS,dxh-team/CDUW,https://github.com/dxh-team/CDUW/commit/e2ae41c9315e1de2c32a1b0983f7c897e342d96f,ПО разработанное и настроенное для атак ресурсов РФ
19.03.2022 23:03,DDOS,alexander-danilenko/ua-loadtest,https://github.com/alexander-danilenko/ua-loadtest/commit/ce994b94bf8cc67fd04914d08e3913bcac1c4f53,"ПО для нагрузочного тестирования, ориентированное на использования в DDoS атаках на ресурсы РФ"
19.03.2022 22:56,DDOS,opengs/uashield,https://github.com/opengs/uashield/commit/f5de10a10e9e2c872450fe82454e838e62ff2d2f,ПО для хакерских атак настроенное на атаки инфраструктуры и организаций в РФ
19.03.2022 22:50,DDOS,erkexzcx/stoppropaganda,https://github.com/erkexzcx/stoppropaganda/commit/d1e0a530e6ebce2b61df2afa038956c074998292,"Хакерское ПО для проведения DDoS атак, настроенное на инфраструктуру и ресурсы РФ"
19.03.2022 22:46,DDOS,dimboknv/tg-stand-with-ukraine,https://github.com/dimboknv/tg-stand-with-ukraine/commit/77b82fdf8e8552131736b8f0af52d2d37c3de020,Телеграм бот для массовой рассылки жалоб на телеграм-каналы
19.03.2022 22:45,DDOS,mytechnotalent/turbo-scanner,https://github.com/mytechnotalent/turbo-scanner/commit/9a03670ada0ef5253f9ecde397c2edd7ed572352?short_path=b335630#diff-b335630551682c19a781afebcf4d07bf978fb1f8ac04c6bf87428ed5106870f5,Сетевой сканер. Инструмент используемый для проведения хакерских атак. На странице добавлен тег Ukraine.
19.03.2022 22:40,DDOS,GloryToUA/Justice3,https://github.com/GloryToUA/Justice3/commit/38d5e7710929d6a6b19e7c60a867ef6a391abac0,"Инструментарий для хакерских атак, нацеленный на нефтедобывающую отрасль"
19.03.2022 22:04,DDOS,sanfarans/hack4ukraine,https://github.com/sanfarans/hack4ukraine,Предположительно - ПО разрабатываемое для проведения хакерских атак на РФ
19.03.2022 21:53,DDOS,tweedge/ru-ok,https://github.com/tweedge/ru-ok/commit/f0e1c5cc0c3ceb3e39ccc781a0e4c18a65069595,Фреймворк для мониторинга ресурсов при проведении атак на ресурсы РФ и ведения информационной разведки
19.03.2022 21:32,DDOS,0x77dev/stoprussia,https://github.com/0x77dev/stoprussia,"Набор инструментов для атак инфраструктуры РФ - доставка еды, транспорт, гос.ресурсы, различных коммерческих компаний"
19.03.2022 21:30,DDOS,Инструмент для DDoS атак,https://github.com/d1sUa/DisDDos,"Инструмент для DDoS атак, призывы к атакам инфраструктуры РФ"
19.03.2022 0:05,DDOS,hack_russia,https://lostmsu.github.io/hack_russia/,Инструмент для DDoS списка сайтов
18.03.2022 14:49,DDOS,russia-must-be-stopped,https://github.com/zozulinskyi/russia-must-be-stopped/commits/main,"""Скрипт, встраиваемый в браузер и превращающий его в своебразного """"зомби"""" в бот-сети. Также, в репе лежит 2 текстовых файлика со списками url-жертв."""
18.03.2022 11:59,DDOS,Death by 1000 needles,https://github.com/Arriven/db1000n,получает конфиг с ip адресами и начинает флудить трафиком
18.03.2022 6:24,DDOS,IT-ARMY-of-Ukraine-Resources-in-English,https://github.com/danieldanielecki/IT-ARMY-of-Ukraine-Resources-in-English,Подборка целей и инструментов для атак по инфраструктуре РФ
18.03.2022 1:06,DDOS,https://github.com/Luzhnuy/attacker,https://github.com/Luzhnuy/attacker,репка с ддосом
17.03.2022 22:47,DDOS,db1000n,https://github.com/Arriven/db1000n,DDOS осуществляется через общедоступный список из ~100 тыс. проксей: https://github.com/Arriven/db1000n/blob/main/proxylist.json
17.03.2022 22:37,DDOS,bombardier,https://github.com/almerico/bombardier,Организация DoS-атак на инфраструктуру России: Госуслуги и проч.
17.03.2022 21:56,DDOS,https://github.com/Sateviss,https://github.com/Sateviss/sateviss.github.io/blob/master/ddos.html,Гитхаб игнорит абузы с ру айпи
17.03.2022 21:26,DDOS,russia_ddos,https://github.com/alexmon1989/russia_ddos,Досилка
17.03.2022 19:13,DDOS,AlexTrushkovsky/NoWarDDoS,https://github.com/AlexTrushkovsky/NoWarDDoS,"Вообще на неё пожаловались много раз, и в итоге гитхаб выкосил репу, на что автор даже написал что гитхаб поддерживает Русских. Репа опять появилась."
17.03.2022 18:55,DDOS,ChngYrNick/fuck-warship,https://github.com/ChngYrNick/fuck-warship,Досилка
17.03.2022 18:52,DDOS,SlavaUkraini2022/ddos_for_glory_of_ukraine,https://github.com/SlavaUkraini2022/ddos_for_glory_of_ukraine,Досилка
17.03.2022 18:50,DDOS,UA-IT-Army/aggressor-sites,https://github.com/UA-IT-Army/aggressor-sites,Досилка
17.03.2022 18:47,DDOS,ievgen11/ddoser,https://github.com/ievgen11/ddoser,Досилка
17.03.2022 18:47,DDOS,muterussia/MuteRussia,https://github.com/muterussia/MuteRussia,Досилка
17.03.2022 17:20,DDOS,smrt-fascismu/RuskiBot-Reddit,https://github.com/smrt-fascismu/RuskiBot-Reddit,Досилка
17.03.2022 17:20,DDOS,0x77dev/stoprussia,https://github.com/0x77dev/stoprussia,Досилка
17.03.2022 17:19,DDOS,RusskijKorablIdiNaxuj/RusskijKorablIdiNaxuj,https://github.com/RusskijKorablIdiNaxuj/RusskijKorablIdiNaxuj,Досилка
17.03.2022 17:18,DDOS,metastck/putler-doser,https://github.com/metastck/putler-doser,Досилка
17.03.2022 17:17,DDOS,ajax-lives/NoRussian,https://github.com/ajax-lives/NoRussian,досилка
17.03.2022 17:16,DDOS,opengs/uashield,https://github.com/opengs/uashield,Досилка
17.03.2022 17:16,DDOS,erkexzcx/stoppropaganda,https://github.com/erkexzcx/stoppropaganda,Досилка
17.03.2022 15:27,DDOS,vnestoruk/BAN-dera,https://github.com/vnestoruk/ban-dera,"Сервис, который ддосит сайты из списка с компьютеров пользователей, у кого открыта вкладка с сайтом."
18.03.2022 18:23,MALVAR,Kinoko,https://f-droid.org/en/packages/com.ero.kinoko/,После последнего обновления напрочь убил телефон. Пока единичный случай.
18.03.2022 11:04,MALVAR,Onefetch,https://github.com/o2sh/onefetch,"При установке программы подменяет библиотеку libgcc_s.so.1, система перестает отвечать и после перезагрузки система выдает ошибку kernel panic. Проблема не подтверждена. Вредоносных коммитов не обнаружено."
17.03.2022 8:16,MALVAR,node-ipc,https://github.com/RIAEvangelist/node-ipc/issues/233,"https://github.com/RIAEvangelist/node-ipc/issues/233 В библиотеку node-ipc добавили шифровальщик для ip России и Белоруссии https://github.com/RIAEvangelist/node-ipc/blob/847047cf7f81ab08352038b2204f0e7633449580/dao/ssl-geospec.js	 Оно реально всю фс закидывает сердечками, если ты из России и Беларуси. Причем вручную поставили 25% вероятности в начале таймаута, чтобы эта штука была больше похоже на плавающий баг, чем на что-то намеренное. https://github.com/RIAEvangelist/node-ipc/commit/1220522453a0388cb4af1a74fe9a0482b6b3a9f3	Оригинальный ресерч автора самого первого issue, который расследовал действие кода. Сейчас его issue потёр автор node-ipc, поэтому исследователь переехал в gist: https://gist.github.com/MidSpike/f7ae3457420af78a54b38a31cc0c809c По ссылке есть таймлайн события, расследования и меры минимизации ущерба. Появились сообщения о том, что уязвимость откатили https://github.com/arendst/Tasmota/commit/ba32044bb25b820a104428585bf4c91c4e927f88 , https://github.com/arendst/Tasmota/commit/b4f99bb74704e4a5f85b7ba9e03b126bf1c43320"
17.03.2022 2:02,MALVAR,https://github.com/RIAEvangelist/peacenotwar,https://github.com/RIAEvangelist/peacenotwar,Сама библиотека удаляющая файловую систему по IP из России и Белоруссии
16.03.2022 18:10,MALVAR,es5-ext,https://github.com/medikoo/es5-ext/commit/28de285ed433b45113f01e4ce7c74e9a356b2af2,"Коллеги, обращаем внимание, что популярная библиотека https://www.npmjs.com/package/es5-ext которая не обновлялась до этого 2 года начала получать регулярные обновления которые содержат как негативную пропаганду, так и код по таймзоне увеличивающий утилизацию ресурсов. Смотреть файл - _postinstall.js"
18.03.2022 10:46,OTHER,https://github.com/Yaffle/EventSource,https://github.com/Yaffle/EventSource/commit/de137927e13d8afac153d2485152ccec48948a7a,https://github.com/Yaffle/EventSource/issues/199
17.03.2022 15:19,OTHER,RedisDesktopManager,https://github.com/uglide/RedisDesktopManager/commit/8b2b357d9d233100f84a69f81ed22b8caa04fa22,как бы чего еще туда не заложили вредного
19.03.2022 23:15,OTHER,emergenzeHack/ukrainehelp.emergenzehack.info_segnalazioni,https://github.com/emergenzeHack/ukrainehelp.emergenzehack.info_segnalazioni/commit/278b4ec80b6c957bd7cbc0a8245a8ed2cba88e55,"Ресурсы для сбора разведданных и аналитики - геолокация, парсинг ресурсов, и т.п."
19.03.2022 22:29,OTHER,danieldanielecki/IT-ARMY-of-Ukraine-Resources-in-English,https://github.com/danieldanielecki/IT-ARMY-of-Ukraine-Resources-in-English/commit/7943fb13858197707b13686b612548f5812b3fab,"Страница для координации хакерских атак на инфраструктуру РФ, ссылки на прикладное ПО для атак, цели и адреса групп координирующих хакерские атаки"
19.03.2022 22:26,OTHER,a2435191/ukraine-war-map-twitter-bot,https://github.com/a2435191/ukraine-war-map-twitter-bot/commit/7c8c5fcd1478f5dcf61f76cc754c34e6de2682e1,Бот для ведения пропаганды в твиттере
19.03.2022 22:24,OTHER,helpmap/helpmap.io,https://github.com/helpmap/helpmap.io/commit/a4864227f59d42c216448f82c08d834af2f8eba6,Фреймворк для массового создания ресурсов для сбора финансов
18.03.2022 13:20,OTHER,AWS Terraform modules,https://github.com/terraform-aws-modules/terraform-aws-eks/commit/f5511e4df1f06954229f48df1cf87f9ebc8da26a,"""Фраза terms of use в readme заменена на information. Думаю, тип проблемы можно сменить на """"Лозунги"""""""
18.03.2022 0:49,OTHER,https://github.com/NewEXE/belsk-schedule,https://github.com/NewEXE/belsk-schedule/commit/b27b55bcf992887864d933af19e009e5750c4ca1,Куча говна
18.03.2022 0:23,OTHER,OkayCMS,https://okay-cms.com/ https://ok-cms.com/,"Были политические заявления в блоге и на сайте компании, указывающие на то, что русских ненавидят. Прямой отказ в обновлениях движка и отправке уже оплаченных ранее модулей"
17.03.2022 22:38,OTHER,Qalctulate! (GTK),https://github.com/Qalculate/qalculate-gtk/commit/74c7413429b386f08028565f16f537204217b456,"""Remove flags for RUB and BYR/BYN, and show UAH flag when first using the new version;"" Ничего серьезного, но раздражает. Версия с этим коммитом уже в репозиториях arch. Работает не только в РФ/БР, а вообще у всех."
17.03.2022 22:02,OTHER,https://github.com/kbrehme,https://github.com/kbrehme/niffelheim/commit/7cb93ca14aab68c646a65ef21923835a0f791d4a,Человек удаляет все что связано с русским народом в модах и скриптах
17.03.2022 18:56,OTHER,pnpm,https://github.com/pnpm/pnpm/commit/3c328ec465c597ff558c1f38afbfe2a0c1b02a83,Заблокирован доступ на основной сайт https://pnpm.io по гео признаку.
19.03.2022 23:11,OTHER,ch33r10/SunflowerCon,https://github.com/ch33r10/SunflowerCon/commit/424e61c74463949dd43a62435ac8e332f4ba5a5f,Страница по координации и сбору IT - разведданных нацеленных на атаки инфраструктуры РФ
19.03.2022 22:55,OTHER,curated-intel/Ukraine-Cyber-Operations,curated-intel/Ukraine-Cyber-Operations,Страница кураторов IT-разведок для координации информации необходимой для проведения хакерских атак и сбора разведданных о разведке РФ
22.03.2022 20:41,SLOGANS,pgcli,https://github.com/dbcli/pgcli/commit/6884c298e6845a4d870ac815a1ed269063fe3ddc,#StandWithUkraine
22.03.2022 19:42,SLOGANS,Security-Code-Scan,https://github.com/security-code-scan/security-code-scan/releases/tag/5.6.2,I'm the author. :)
22.03.2022 19:26,SLOGANS,PHPUnit,https://github.com/sebastianbergmann/phpunit/commit/4634e702b5f05f5e948e531eb8b4fc19be40610c,#StandWithUkraine
22.03.2022 19:16,SLOGANS,PHPUnit 9.5.19,https://packagist.org/packages/phpunit/phpunit,PHPUnit 9.5.19 #StandWithUkraine
22.03.2022 16:44,SLOGANS,https://piccy.info/,https://piccy.info/,"Сообщение """"""Сайт не работает, потому что"" Россия напала на нас и начинает уничтожать ""мирное население"""""""
22.03.2022 15:56,SLOGANS,UpdatePack7R2,https://blog.simplix.info/,"""Нет пуша. В сборке от 11.03 при работе в системе с заданными TZ из России или Беларуси выбивает окно """"ваша страна поддерживает войну..."""" и работа завершается."""
22.03.2022 15:05,SLOGANS,WebdriverIO,https://github.com/webdriverio/webdriverio/commit/efd781a7ba432bae7720de03704f6a12409da978,StandWithUkraine banner in в README.md
22.03.2022 15:04,SLOGANS,Instant Games Bridge,https://github.com/mewtongames/instant-games-bridge,Вместо баннеров показываются призывы к революции
22.03.2022 14:05,SLOGANS,VK Blue - плагин Google Chrome,https://chrome.google.com/webstore/detail/vk-blue-%D1%8D%D0%BA%D0%B2%D0%B0%D0%BB%D0%B0%D0%B9%D0%B7%D0%B5%D1%80-%D0%B8-%D1%81%D0%BA%D1%80%D0%BE/pckkddchhdhkfapanbkcalloijbbjhbd,Плагин для прослушивания музыки ВК. После установки показывает это: https://ibb.co/P91dP36
22.03.2022 12:47,SLOGANS,Yad,https://github.com/v1cont/yad/commit/e38f7fa71aa9b2dff408ae14ca7133e4fdc4b02a,"""Вырезание русского языка, """"DROP K HUJAM russian translation"""" (https://github.com/v1cont/yad/commit/f14f5fc497827871e314c5c7b68d12a4de827d46); Автор - Украинец, который находится в резерве сил территориальной обороны (https://github.com/v1cont/yad/issues/107#issuecomment-1062908246), """"Цели последнего выпуска были в первую очередь политическими и этическими, а не техническими. основной причиной было удаление русского перевода из yad."""""""
22.03.2022 6:14,SLOGANS,Svelte (https://svelte.dev/) и Svelte-Kit (https://kit.svelte.dev/),-,Баннер на сайте в поддержку Украины
22.03.2022 1:56,SLOGANS,outdatedregime/change,https://github.com/outdatedregime/change/commit/f22e7f90a5bb8fe2b8f0001d9774fe495084d234,"Block people visiting your website from Russia, redirect them to a page telling them their Regime is outdated and offering them unbiased news sources in their language."
22.03.2022 1:53,SLOGANS,in-solidarity-with-ukraine,https://github.com/core-hacked/in-solidarity-with-ukraine/commit/60af44e10440e5fed49aea4e80d84530e46c6ab8,"""A simple repository with HTML/CSS Ukraine flag and """"stop war"""" text on it."""
22.03.2022 1:51,SLOGANS,ukrfetch,https://github.com/ukrfetch/ukrfetch/commit/362853d86a64d093c5ddb8d11d8d06ec69cd7c7c,Simple fetch tool to show Solidarity with Ukraine
22.03.2022 1:42,SLOGANS,Russia-Blocker,https://github.com/Riceblade/Russia-Blocker/commit/ec9b3cd026f28f592c1cf3620da799e6f4f914ec,Automatically redirects Russian connections to ukrainian charities
22.03.2022 1:36,SLOGANS,hands-off-ukraine-banner,https://github.com/filipe-freire/hands-off-ukraine-banner/commit/5a1fa52f04022971fdcc738d4b1d58c9371c1769,This banner includes easy access links to support Ukraine against the deliberate military invasion of Russia. It was built as a Web Component to facilitate its integration between all the frontend library/frameworks used.
22.03.2022 1:31,SLOGANS,embargoed-list,https://github.com/rameerez/embargoed-list/blob/main/README.md,"List of all language-specific versions of embargoed, software to block to block all requests from Russia to any website and display a pro-Ukraine message instead"
22.03.2022 1:27,SLOGANS,hejny/Ukraine,https://github.com/hejny/Ukraine/commit/e74a5de837d6ed0e2e11e174f4319a5ededc7c28,"Add ribbon with Ukraine flag into the website you manage, show the anti-war message to Russian users, or block them from your service."
22.03.2022 1:24,SLOGANS,RussianBlocker Public,https://github.com/OB42/RussianBlocker/commit/10e0ab31f0e0f8372fb24d32544e7e4867d3f688,"Detect Russian and Belarussian visitors to block or alert them to protest the war in Ukraine(works by checking timezone and languages as this is the easiest way to do it unlimitedly for free on the frontend, should work 9 times out of 10, except for a few russians near the border)"
22.03.2022 1:13,SLOGANS,PutinWantedPoster,https://github.com/snippetboy/PutinWantedPoster/commit/fbafce5e49d22c660d9da78919f035b812cced13,Putin Wanted Poster
22.03.2022 1:10,SLOGANS,express-putin,https://github.com/limesquid/express-putin/commit/b3eb6eae757d74d1a8241bc5dd6773dae6920fb2,Node.js Express middleware to reject requests from all Russian IPs.
22.03.2022 0:57,SLOGANS,yandex-conqueror,https://github.com/piotrmaslanka/yandex-conqueror/commit/a2f5d01f9a367b22dbafbcb2a9643cb73d2365a1,A tool to inform the general Russian population about what's going on in year 2022 on Ukraine via posting 5-star reviews to Yandex.
22.03.2022 0:47,SLOGANS,stopwarstopputin Wordpress plugin,https://github.com/stopwarstopputin/swsp-wordpress-plugin/commit/6e75e015fc17186b6e1a0592f02189d5b991805a,The Stop War! Stop Putin! WordPress Plugin allows you to block all visitors from Russia & Belarus and display a custom message to stand up against Putin and to stop war.
21.03.2022 16:05,SLOGANS,voku/portable-ascii,https://github.com/voku/portable-ascii/commit/377ab19df364e512cb6e49b8c7d026f5b550ac92,Все пакеты в packagist от пользователя voku: https://packagist.org/packages/voku/ Конкретно у этого более 66 млн. инсталляций
21.03.2022 15:28,SLOGANS,event-source-polyfill,https://github.com/Yaffle/EventSource/commit/de137927e13d8afac153d2485152ccec48948a7a,javascript либа. Начиная с версии 1.0.26 выводит alert() на странице.
21.03.2022 14:36,SLOGANS,https://leafletjs.com/,https://leafletjs.com/,На сайте популярной библиотки leafletjs появился политический лозунг
21.03.2022 13:14,SLOGANS,PHPMailer,https://github.com/PHPMailer/PHPMailer,Баннер в README.
21.03.2022 12:33,SLOGANS,Appsberry (websa),https://websa.advancedhosting.com/StandWithUkraine,облачный хостинг
21.03.2022 12:28,SLOGANS,Refactoring.Guru,https://refactoring.guru/ru/help-ukraine,"Призывы спонсировать украинских военных и волонтеров, гуманитарные благотворительные организации."
21.03.2022 8:59,SLOGANS,Notepad++,https://notepad-plus-plus.org/news/v833-make-apps-not-war/,Лозунги на сайте. Есть опасение что последние версии продукта могут их содержать.
21.03.2022 6:49,SLOGANS,Isomorphic Authorization JavaScript library,https://github.com/stalniy/casl/commit/b13c3de252b8412079b4030ff73309d65713c8d2,"""Политический баннер """"Stop war in Ukraine. All truth about Russia invasion"""""""
21.03.2022 2:13,SLOGANS,Расширение Random User-Agent,https://github.com/tarampampam/random-user-agent/commit/fb9f595306a0e149a248c080859749b6d549be90,так то вроде ничего серьёзного. перекрасили лого в известные цвета.
20.03.2022 21:20,SLOGANS,The unarchiver (macOS App Store),https://imgur.com/a/q5DGKxG,"Если не нажать кнопку, то разархивировать не будет, но только раз. При следующем запуске не возникает"
20.03.2022 20:02,SLOGANS,https://www.ratatype.ru/,https://www.ratatype.ru/,https://www.ratatype.ru/
20.03.2022 18:34,SLOGANS,FreePBX,ОТСУТСТВУЕТ,При обновлении каждую 5 команду выдает сообщение с призывом остановить РФ
20.03.2022 15:00,SLOGANS,Diptrace,"Что за жаргон? Почему не использовать нормальные слова, что за гопницкое быдло?","""После встречи """"пуша в репе"""" никакого желания что -либо дальше делать нет, общаться с тупой школотой - ну нафиг."""
20.03.2022 8:48,SLOGANS,yaml-front-matter,https://github.com/spatie/yaml-front-matter/commit/a5a8443f7d9bfc5c337cf41c92347b6d677d23bb,https://github.com/spatie/yaml-front-matter - баннер в README.md
20.03.2022 0:59,SLOGANS,LeafletJs,https://leafletjs.com/,"""На главной странице теперь полит-лозунги, с предложением положить """"семена в корман"""" если поддерживаешь РФ. Также ко всем ссылкам в документации добавили лозунг """"SlavaUkraini"""", пример: https://leafletjs.com/SlavaUkraini/reference.html"""
19.03.2022 23:44,SLOGANS,SergeyOcheretenko/StopWarBot,https://github.com/SergeyOcheretenko/StopWarBot/commit/152d9a0f06625475d913633452c41779a1f9f25b,Бот для рассылки пропагандистского спама
19.03.2022 23:38,SLOGANS,goddessmokosh/stop-war-in-ukraine,https://github.com/goddessmokosh/stop-war-in-ukraine/commit/171191737d289608cc55f7c4324c74fce233821a,Плагин для wordpress для демонстрации баннеров и сбора средств на ведение боевых действий
19.03.2022 23:34,SLOGANS,stopwarstopputin/swsp-wordpress-plugin,https://github.com/stopwarstopputin/swsp-wordpress-plugin/commit/f26bd25ec52c366df977848677607ff889b51780,Плагин для wordpress итегрирующий пропагандистские баннеры
19.03.2022 23:06,SLOGANS,daocentral/ukraine,https://github.com/daocentral/ukraine/commit/ffc07ebc67c244c59acd4d01193c428f8a5e756c,Ресурсы цифровой децентрализованной организации нацеленной на сбор средств для ведения боевых действий
19.03.2022 22:38,SLOGANS,petrussola/help-ukraine-open-source,https://github.com/petrussola/help-ukraine-open-source/commit/676bfac5ed77ccb6b6a8a731353ed6239a57d45f,"Список опенсорс проектов, используемых для сбора данных, создания организаций и пропаганды"
19.03.2022 22:34,SLOGANS,hattifn4ttar/youtube_supportfreemedia,https://github.com/hattifn4ttar/youtube_supportfreemedia/commit/99ae3284665adc24fc393e9537bf74222517a4a8,ПО для накрутки просмотров пропагандистских youtube роликов
19.03.2022 22:31,SLOGANS,artshishkin / swarm-digital-ocean,https://github.com/artshishkin/swarm-digital-ocean/commit/6d718f17f41011f7d710deb8963fee63e39e4afa,"ПО для хакерских атак, настроенное на конкретные ресурсы в РФ"
19.03.2022 22:27,SLOGANS,gianpaj / walnut.tv,https://github.com/gianpaj/walnut.tv/commit/b29d08c048a1020526a8212c9cd20665c4fba980,Лозунги в ПО
19.03.2022 22:05,SLOGANS,VSBalanchuk/AAInUkraine,https://github.com/VSBalanchuk/AAInUkraine/commit/f400a1b04bcd0055c99aebebe07b165ae5fa5270,Баннер для размещения на веб-ресурсах
19.03.2022 22:01,SLOGANS,alexshapalov/Support-Ukraine,https://github.com/alexshapalov/Support-Ukraine/commit/a5b48de9a8f6e9b36d8519acba803f67693e5125,Баннер для размещения на веб-ресурсах
19.03.2022 21:58,SLOGANS,KobaltDigital / goods4ukraine.eu (Laravel),https://github.com/KobaltDigital/goods4ukraine.eu/commit/2dfda21ef8f0d18a4afce9c886367c4f8aabc543,"Веб-фреймворк, название переименовано в лозунг"
19.03.2022 21:46,SLOGANS,vshymanskyy/StandWithUkraine,https://github.com/vshymanskyy/StandWithUkraine/commit/7c25c6ce0ca2e2956ca710180b095aa9a9dfc355,Инструментарий для внедрения баннеров в ПО/Веб ресурсы
19.03.2022 21:27,SLOGANS,https://github.com/evermade/support-ukraine-banner,https://github.com/evermade/support-ukraine-banner,Софт для распространения баннеров
19.03.2022 21:26,SLOGANS,https://github.com/brzuchal/stop-the-war,https://github.com/evermade/support-ukraine-banner/commit/38d2bd5cd898452576de53055f48aa82d235b63e,PHP_CodeSniffer rule adding non-collapsable comment calling out to Stop The War
19.03.2022 21:23,SLOGANS,rete ete.js Build Status Quality Gate Status Join the chat at https://gitter.im/retejs/Lobby JavaScript framework for visual programming,https://github.com/retejs/rete/commit/d3ff828a41f96e34f04619eb44c688c913ee8def,#StandWithUkraine postinstall message
19.03.2022 21:20,SLOGANS,Synergy,https://github.com/symless/synergy-core/commit/c542c57b5ef6ee0640a5a68ecb40a2997a68bedb,"баннер, редирект с ip адресов РФ"
19.03.2022 20:09,SLOGANS,Rust,https://blog.rust-lang.org/2022/02/24/Rust-1.59.0.html,"В начале анонса релиза 1.59.0 абзац: Today's release falls on the day in which the world's attention is captured by the sudden invasion of Ukraine by Putin's forces. Before going into the details of the new Rust release, we'd like to state that we stand in solidarity with the people of Ukraine and express our support for all people affected by this conflict."
19.03.2022 13:05,SLOGANS,Winbox snap install,https://github.com/panaceya/winbox,Пакет с Winbox для Linux систем. Политика.
19.03.2022 10:05,SLOGANS,-,https://github.com/ukraine-not-war/stop-war,-
19.03.2022 3:08,SLOGANS,Mate Translate,https://addons.mozilla.org/ru/firefox/addon/instant-translate/?utm_source=addons.mozilla.org&utm_medium=referral&utm_content=search,Политические призывы в расширении браузера версии 10.1.13
19.03.2022 3:07,SLOGANS,Winbox из SANP Linux,https://snapcraft.io/winbox,Пакет установлен из магазина SNAP. Политические призывы в версии 3.35 при запуске.
19.03.2022 1:09,SLOGANS,VyOS,https://blog.vyos.io/global-security-issue-with-russian-federation-invasion-into-ukraine,"В самом коде пока(?) ничего не замечено, автор этой записи комитил последний раз в 2018 году в их репозиторий, но с учетом текста в конце сообщения и общего характера всего поста, надо учитывать в дальнейшем при обновлении. Так же, ниже в комментариях, есть пару сообщений от людей из других стран, которые решили отказаться от данного продукта из-за опасения вреда в будущем. Может быть в списке сделать отдельный раздел для таких случаев?"
19.03.2022 1:01,SLOGANS,LosslessCut,https://github.com/mifi/lossless-cut/issues/1055,"Добавлена кнопка в самом центре окна программы, которая сначала была украинским флагом, а теперь стала просто картинкой с подсолнухами. При нажатии на ссылку открывается пропагандистская страница https://mifi.no/ukraine.html"
18.03.2022 23:09,SLOGANS,Winbox snap,https://github.com/panaceya/winbox,Баннер в поддержку Украины
18.03.2022 22:34,SLOGANS,terraform-aws-eks,https://github.com/terraform-aws-modules/terraform-aws-eks/commit/fad350d5bf36a7e39aa3840926b4c9968e9f594c,feat: Made it clear that we stand with Ukraine
18.03.2022 19:56,SLOGANS,svelte.dev,https://github.com/sveltejs/sites/pull/308,Баннер с ссылкой на донаты Украине. Автор https://github.com/pngwn
18.03.2022 19:31,SLOGANS,Jest,https://jestjs.io/ru/,Баннер в поддержку Украины.
